Multinomial Naive Bayes using unigrams:
                       0            1
[1] "RECALL: 0.864406779661017"
[1] "F1: 0.733812949640288"
[1] 0.01875

------------------------------------------------------------------------
Classification tree using unigrams:

Variables actually used in tree construction:
 [1] able        actually    air         almost      already     also        although    another    
 [9] anything    area        around      arrived     asked       back        bad         bar        
[17] bathroom    beds        better      big         carpet      charge      check       chicago    
[25] coffee      comfortable conference  couldnt     decided     desk        didnt       dirty      
[33] door        elevator    every       expected    far         finally     first       found      
[41] friendly    good        great       guest       guests      hard        hotel       husband    
[49] internet    ive         last        lobby       location    long        looked      many       
[57] money       much        need        new         offered     old         one         pay        
[65] person      rate        really      received    recently    reviews     rooms       said       
[73] several     sheets      smell       someone     spend       star        still       terrible   
[81] toilet      told        try         wasnt       water       website     will       

Root node error: 320/640 = 0.5

n= 640 

          CP nsplit rel error  xerror     xstd
1  0.4093750      0  1.000000 1.08125 0.039398
2  0.0343750      1  0.590625 0.59063 0.036064
3  0.0312500      2  0.556250 0.60313 0.036282
4  0.0250000      3  0.525000 0.59063 0.036064
5  0.0187500      4  0.500000 0.56875 0.035664
6  0.0156250      6  0.462500 0.56563 0.035605
7  0.0125000      8  0.431250 0.55625 0.035423
8  0.0093750      9  0.418750 0.54688 0.035238
9  0.0062500     15  0.362500 0.60000 0.036228
10 0.0049107     38  0.215625 0.63750 0.036840
11 0.0046875     46  0.175000 0.65000 0.037028
12 0.0031250     49  0.159375 0.65000 0.037028
13 0.0015625     91  0.028125 0.67500 0.037383
14 0.0000000    109  0.000000 0.69375 0.037629

CONFUSION MATRIX:
reviews.rpart.pred  0  1
                 0 48 23
                 1 32 57
[1] "ACCURACY:  0.65625"
[1] "PRECISION:  0.6"
[1] "RECALL: 0.676056338028169"
[1] "F1: 0.635761589403973"
[1] 0.01875

------------------------------------------------------------------------
Classification tree using bigrams:

Variables actually used in tree construction:
 [1] able        air         almost      already     also        another     anyone      anything   
 [9] area        around      arrived     asked       back        bad         bar         bathroom   
[17] beds        better      big         carpet      charge      check       chicago     coffee     
[25] comfortable conference  couldnt     decided     desk        dirty       door        elevator   
[33] every       expected    finally     first       found       front       given       good       
[41] great       guest       guests      hard        hotel       internet    ive         last       
[49] lobby       location    looked      many        money       much        need        night      
[57] offered     old         one         pay         person      rate        really      received   
[65] recently    reviews     rooms       said        several     sheets      smell       someone    
[73] spend       star        stay        still       toilet      told        try         upon       
[81] wasnt       water       will        will.never 

Root node error: 320/640 = 0.5

n= 640 

          CP nsplit rel error  xerror     xstd
1  0.4093750      0  1.000000 1.08125 0.039398
2  0.0343750      1  0.590625 0.59063 0.036064
3  0.0312500      2  0.556250 0.60313 0.036282
4  0.0250000      3  0.525000 0.59063 0.036064
5  0.0187500      4  0.500000 0.56875 0.035664
6  0.0156250      6  0.462500 0.56563 0.035605
7  0.0125000      8  0.431250 0.55625 0.035423
8  0.0093750      9  0.418750 0.54688 0.035238
9  0.0062500     15  0.362500 0.60313 0.036282
10 0.0049107     38  0.215625 0.64062 0.036888
11 0.0046875     46  0.175000 0.65938 0.037165
12 0.0031250     49  0.159375 0.65313 0.037074
13 0.0015625     93  0.021875 0.64688 0.036982
14 0.0000000    107  0.000000 0.66250 0.037209

CONFUSION MATRIX:               
reviews.rpart.pred  0  1
                 0 48 23
                 1 32 57
[1] "ACCURACY:  0.65625"
[1] "PRECISION:  0.6"
[1] "RECALL: 0.676056338028169"
[1] "F1: 0.635761589403973"

------------------------------------------------------------------------
Random forest using unigrams:

mtry = 17  OOB error = 18.75% 
Searching left ...
mtry = 9 	OOB error = 17.34% 
0.075 0.05 
mtry = 5 	OOB error = 18.44% 
-0.06306306 0.05 
Searching right ...
mtry = 34 	OOB error = 18.91% 
-0.09009009 0.05 
       mtry  OOBError
5.OOB     5 0.1843750
9.OOB     9 0.1734375
17.OOB   17 0.1875000
34.OOB   34 0.1890625
[1] 9
[1] 519

CONFUSION MATRIX:                
random.forests.predictions  0  1
                         0 14  3
                         1 66 77
[1] "ACCURACY:  0.56875"
[1] "PRECISION:  0.175"
[1] "RECALL: 0.823529411764706"
[1] "F1: 0.288659793814433"

------------------------------------------------------------------------
Random forest using bigrams:

mtry = 17  OOB error = 17.19% 
Searching left ...
mtry = 9 	OOB error = 17.5% 
-0.01818182 0.05 
Searching right ...
mtry = 34 	OOB error = 19.84% 
-0.1545455 0.05 
       mtry  OOBError
9.OOB     9 0.1750000
17.OOB   17 0.1718750
34.OOB   34 0.1984375
[1] 17
[1] 850

CONFUSION MATRIX:
random.forests.predictions  0  1
                         0 13  3
                         1 67 77
[1] "ACCURACY:  0.5625"
[1] "PRECISION:  0.1625"
[1] "RECALL: 0.8125"
[1] "F1: 0.270833333333333"

------------------------------------------------------------------------
McNemar's Chi-squared tests with continuity correction:

Multinomial Naive Bayes vs. Logistic regression, both using unigrams.
McNemar's chi-squared = 0.96154, df = 1, p-value = 0.3268

Multinomial Naive Bayes vs. Logistic regression, both using bigrams.
McNemar's chi-squared = 3.375, df = 1, p-value = 0.06619

Random forest vs. Multinomial Naive Bayes, both using unigrams.
McNemar's chi-squared = 28.015, df = 1, p-value = 1.204e-07

Random forest vs. Logistic regression, both using unigrams.
McNemar's chi-squared = 26.327, df = 1, p-value = 2.882e-07

Random forest vs. Multinomial Naive Bayes, both using bigrams.
McNemar's chi-squared = 28.918, df = 1, p-value = 7.551e-08

Random forest vs. Logistic regression, both using bigrams.
McNemar's chi-squared = 22.756, df = 1, p-value = 1.84e-06

Classification tree using unigrams vs. Classification tree using bigrams
McNemar's chi-squared = NaN, df = 1, p-value = NA

Random forests using unigrams vs. Random forests using bigrams
McNemar's chi-squared = 0, df = 1, p-value = 1

Logistic regression using unigrams vs. Logistic regression using bigrams
McNemar's chi-squared = 4.1667, df = 1, p-value = 0.04123

Multinomial Naive Bayes using unigrams vs. Multinomial Naive Bayes using bigrams 
McNemar's chi-squared = 0.25, df = 1, p-value = 0.6171
